4474,0,15707,16547,0,28839,43779,0,46199,46529,0,74509,76869,76949,88419,114979,117974,119210,126579,142269,0,151926,153219,0,177179,184929,186209,195769,0,0,0,219049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243609,0,0,260299,0
Device 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4626,0,16307,17509,0,29529,44389,0,46729,47199,0,75729,77539,77649,89019,115609,118739,119959,127349,143049,0,152589,153890,0,177865,185766,187038,196579,0,0,0,219929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244529,0,0,260719,0
Device 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4841,0,16846,18058,0,30149,45129,0,47479,47819,0,76419,78169,78229,89719,116349,119369,120679,128109,143709,0,153389,154669,0,178699,186465,187739,197419,0,0,0,220830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245449,0,0,261269,0
Device 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5139,0,17339,18667,0,30699,45670,0,48019,48509,0,77019,78869,78944,90239,117009,120119,121369,128749,144469,0,154169,155449,0,179519,187309,188560,198139,0,0,0,221699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247029,0,0,261699,0
Device 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5428,0,17936,19209,0,31349,46399,0,48779,49049,0,77729,79453,79529,90969,117739,120889,122129,129539,145669,0,154839,156119,0,180219,187999,189269,198989,0,0,0,222562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247849,0,0,262179,0
Device 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,0,18441,19809,0,31948,46949,0,49975,49769,0,78309,80150,80229,91599,118499,121519,122769,130172,146329,0,155619,156895,0,181059,188839,190005,199819,0,0,0,223313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248759,0,0,262589,0
Device 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6073,0,19089,20379,0,32589,47679,0,50639,50305,0,79019,80699,80769,92289,119129,122289,123510,130959,147100,0,156279,157559,0,181815,189649,190829,200529,0,0,0,224199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249689,0,0,263119,0
Device 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6547,0,19566,20999,0,33109,48269,0,51260,51059,0,79599,81389,81459,93029,119879,122919,124159,131659,147899,0,157059,157662,0,182569,190359,191531,201409,0,0,0,225069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250550,0,0,263468,0
Device 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6917,0,20259,21557,0,33825,48912,0,52009,52289,0,80329,81969,82089,93625,120539,123670,124929,132379,148559,0,157809,158439,0,183399,191189,192369,202159,0,0,0,225829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251409,0,0,263679,0
Device 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7299,0,20789,22200,0,34289,49630,0,52559,52959,0,80839,82679,82749,94339,121279,124439,125699,133139,149359,0,158519,159212,0,184029,191919,193079,202889,0,0,0,226689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252239,0,0,263889,0
Device 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7871,0,21430,22749,0,35019,50169,0,53309,53590,0,81535,83379,83473,94939,122049,125569,126339,133699,150019,0,159299,159889,0,184842,192730,193929,203729,0,0,0,227459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253149,0,0,264179,0
Device 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8319,0,21976,23417,0,35480,50919,0,53859,54329,0,82209,83999,84069,95669,122689,126259,127109,134488,150799,0,159969,160719,0,186299,193569,194749,204449,0,0,0,228329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253989,0,0,264419,0
Device 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8801,0,22619,23919,0,36469,51462,0,54003,54889,0,82829,84719,84789,96269,123423,127029,127749,135059,152089,0,160809,161449,0,187129,194279,195459,205289,0,0,0,229189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254599,0,0,264630,0
Device 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9413,0,23173,24619,0,37189,52219,0,54679,55719,0,83549,85309,85379,97009,124079,127669,128509,135809,152879,0,161589,162179,0,187829,195109,196309,206739,0,0,0,230540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254787,0,0,264829,0
Device 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9866,0,23789,25129,0,37719,52819,0,55512,56289,0,84139,86029,86109,97739,124849,128429,129262,136479,153549,0,162260,162950,0,188649,195938,197059,207579,0,0,0,231409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256159,0,0,265039,0
Device 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10486,0,24409,25759,0,38449,53519,0,56069,57039,0,84869,86629,86699,98269,125400,129094,129929,137239,154335,0,163039,163549,0,189409,196669,197869,208299,0,0,0,232279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256739,0,0,265349,0
Device 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10939,0,24999,26268,0,38979,54259,0,56830,57810,0,85459,87319,87399,99010,126179,129849,130719,137920,154999,0,163629,164360,0,190099,197509,198719,209170,0,0,0,233149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257299,0,0,265560,0
Device 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11596,0,25530,26969,0,39699,54819,0,57399,58369,0,86179,87919,88039,99549,126949,130632,131359,138520,155790,0,164439,165029,0,190919,198229,199429,209829,0,0,0,234021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257769,0,0,265759,0
Device 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12055,0,26139,27488,0,40360,55649,0,58159,59129,0,86770,88649,88719,100289,127589,131279,132139,139299,156506,0,165125,165919,0,191629,199079,200269,210669,0,0,0,234839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258219,0,0,265969,0
Device 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709,0,26790,28199,0,40969,56209,0,58752,59689,0,87469,89869,89419,100930,128349,132059,132779,139949,157229,0,165329,166725,0,192459,199910,201139,211999,0,0,0,235675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258629,0,0,266222,0
Device 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13174,0,27359,28705,0,41689,56969,0,59489,60479,0,88190,90469,90009,101590,128990,132699,133459,140769,158019,0,166089,167510,0,193209,200629,201859,212879,0,0,0,236567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259159,0,0,266499,0
Device 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14209,0,28069,29399,0,42229,57568,0,60259,61089,0,88789,91119,90669,102050,129779,133859,134229,141419,158689,0,166990,168309,0,194010,201499,202709,213679,0,0,0,237449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259569,0,0,266699,0
Device 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14739,0,28579,29919,0,42969,58299,0,60821,61789,0,89499,91839,91259,102719,130549,134649,134810,142179,159470,0,167669,168999,0,194839,202339,203469,214559,0,0,0,238339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260089,0,0,266909,0
Device 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15339,0,29278,30569,0,43549,59059,0,61579,62539,0,90089,92439,91990,103179,131199,135349,135569,142969,160149,0,168489,169789,0,195549,202979,204269,215429,0,0,0,239229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260509,0,0,267109,0
Device 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15879,0,29789,31745,0,44249,59619,0,62129,63099,0,90813,93180,92599,103829,131969,136059,136221,143629,160969,0,169869,171189,0,196397,203809,205109,216190,0,0,0,240779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261060,0,0,267430,0
Device 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16487,0,30830,32199,0,44919,60399,0,62890,63870,0,91409,93779,93329,104370,132619,136829,136999,144389,161759,0,170670,172429,0,197239,204532,205829,216939,0,0,0,241699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261486,0,0,267639,0
Device 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,31549,32920,0,45539,60969,0,63559,64919,0,92139,94489,93929,105480,0,137399,0,0,162429,0,172259,173221,0,197959,205379,206649,217799,0,0,0,242619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262291,0,0,267849,0
Device 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,33550,0,46259,61709,0,64219,65491,0,92760,95089,94639,106149,0,0,0,0,0,0,172987,173909,0,198809,206190,207479,218659,0,0,0,243509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262689,0,0,268049,0
Device 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,46799,62389,0,65279,66259,0,93480,95819,95369,106699,0,0,0,0,0,0,173739,174649,0,199529,206919,208209,219539,0,0,0,244432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268259,0
Device 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,47549,63029,0,66049,66829,0,94189,96548,95980,107374,0,0,0,0,0,0,0,175359,0,200355,207760,208989,220299,0,0,0,245343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268581,0
Device 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,63787,0,66619,67600,0,94785,97160,96709,107919,0,0,0,0,0,0,0,0,0,201229,209079,209619,221199,0,0,0,246149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268789,0
Device 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,67389,68119,0,95520,97899,97309,108569,0,0,0,0,0,0,0,0,0,201939,209719,210469,222069,0,0,0,246317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Device 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,68529,68819,0,96119,98419,98049,109109,0,0,0,0,0,0,0,0,0,0,210573,211349,222949,0,0,0,247129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Device 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
