time,p2p 0.1d %,p2p 0.2d %,p2p 0.3d %,p2p 0.4d %,p2p 0.5d %,p2p 0.8d %,,cs 0.1d %,cs 0.2d %,cs 0.3d %,cs 0.4d %,cs 0.5d %
100000,-0.212605042,-0.207043109,0.835344828,0.858412698,0.744152047,0.201807229,,0.765861027,-0.105340376,-0.132435466,0.82421875,0.806966146
101000,-0.212605042,-0.207043109,0.835344828,0.859047619,0.746491228,0.202309237,,0.765861027,-0.105340376,-0.132435466,0.82421875,0.80859375
102000,-0.212605042,-0.207043109,0.835344828,0.85968254,0.748830409,0.202811245,,0.765861027,-0.105340376,-0.132435466,0.82421875,0.809570313
103000,-0.212605042,-0.207043109,0.835344828,0.860634921,0.75,0.203313253,,0.765861027,-0.105340376,-0.132435466,0.82421875,0.810546875
104000,-0.212605042,-0.207043109,0.835344828,0.861269841,0.751169591,0.203313253,,0.765861027,-0.105340376,-0.132435466,0.82421875,0.811848958
105000,-0.212605042,-0.207043109,0.835344828,0.861904762,0.753508772,0.203815261,,0.765861027,-0.105340376,-0.132435466,0.824544271,0.813151042
106000,-0.212605042,-0.207043109,0.83591954,0.862222222,0.755555556,0.204317269,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.815104167
107000,-0.212605042,-0.207043109,-0.16408046,0.862539683,0.757602339,0.204317269,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.817057292
108000,-0.212605042,-0.207043109,-0.16408046,0.862857143,0.759064327,0.204819277,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.818684896
109000,-0.212605042,-0.207043109,-0.16408046,0.862857143,0.75994152,0.204819277,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.8203125
110000,-0.212605042,-0.207043109,-0.16408046,0.863492063,0.760818713,0.204819277,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.821940104
111000,-0.212605042,-0.207043109,-0.16408046,0.864126984,0.764035088,0.205321285,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.823893229
112000,-0.212605042,-0.207043109,-0.16408046,0.865396825,0.766081871,0.205823293,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.825846354
113000,-0.212605042,-0.207043109,-0.16408046,0.866666667,0.769005848,0.206325301,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.827799479
114000,-0.212605042,-0.207043109,-0.16408046,0.867301587,0.770467836,0.206827309,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.829101563
115000,-0.212605042,-0.207043109,-0.16408046,0.867619048,0.772807018,0.207329317,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.830078125
116000,-0.212605042,-0.207043109,-0.16408046,0.868571429,0.774269006,0.207329317,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.832682292
117000,-0.212605042,-0.207043109,-0.16408046,0.86952381,0.775730994,0.207831325,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.833333333
118000,-0.212605042,-0.207043109,-0.16408046,0.87015873,0.778070175,0.208333333,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.834635417
119000,-0.212605042,-0.207043109,-0.16408046,0.87047619,0.779532164,0.208333333,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.836263021
120000,-0.212605042,-0.207043109,-0.16408046,0.87047619,0.780116959,0.208835341,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.837890625
121000,-0.212605042,-0.207043109,-0.16408046,0.870793651,0.78245614,0.209337349,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.839192708
122000,-0.212605042,-0.207043109,-0.16408046,0.871428571,0.783918129,0.209839357,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.839518229
